Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
58,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,3rd instar,2,Raw data,N,,25,,1,3.85E+01,7.70E+02,1.56E+01,Alternate family length,1,1.69E+00,% adult mass,2,m^2.5 per pred per day,0.92,4.16E-03,3.68E-03,4.67E-03,1.17E-02,7.78E-03,1.51E-02,
59,Moayeri et al 2013 EUR J ENTOMOL,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,2,Mean,N,,17,,1,6.36E+01,,1.03E+00,Alternate genus length,1,1.47E-01,% adult mass,1,m^2 per pred per day,0.64,5.45E-03,4.17E-03,6.98E-03,6.87E-02,5.26E-02,8.24E-02,
60,Moayeri et al 2013 EUR J ENTOMOL,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,2,Mean,N,,25,,1,6.36E+01,,1.03E+00,Alternate genus length,1,1.47E-01,% adult mass,1,m^2 per pred per day,0.77,5.35E-03,4.38E-03,6.41E-03,4.02E-02,2.83E-02,5.15E-02,
61,Moayeri et al 2013 EUR J ENTOMOL,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,2,Mean,N,,30,,1,6.36E+01,,1.03E+00,Alternate genus length,1,1.47E-01,% adult mass,1,m^2 per pred per day,0.73,5.58E-03,4.53E-03,6.74E-03,4.95E-02,3.67E-02,6.00E-02,
62,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta stigmatias,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,1.53E+02,Alternate species length,2,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.53,8.30E-03,5.17E-03,1.30E-02,1.10E-01,4.32E-02,1.65E-01,2D arena size is SA of arena
63,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta eluta,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,1.53E+02,Alternate species length,2,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.54,8.41E-03,4.99E-03,1.30E-02,1.13E-01,3.68E-02,1.67E-01,2D arena size is SA of arena
64,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta annonae,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,1.53E+02,Alternate species length,2,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.55,8.20E-03,5.56E-03,1.25E-02,1.05E-01,4.55E-02,1.56E-01,2D arena size is SA of arena
65,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta stigmatias,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,2.12E+02,Alternate species length,1,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.6,7.90E-03,4.88E-03,1.16E-02,8.90E-02,1.56E-02,1.36E-01,2D arena size is SA of arena
66,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta eluta,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,2.12E+02,Alternate species length,1,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.57,8.51E-03,5.26E-03,1.40E-02,9.40E-02,2.09E-02,1.45E-01,2D arena size is SA of arena
67,Kalsi et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,3,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta annonae,Adult,2,Mean,N,24,,,2,1.04E+02,1.45E+03,2.12E+02,Alternate species length,1,2.98E+00,Alternate species length,3,m^2.5 per pred per day,0.57,8.16E-03,5.29E-03,1.40E-02,9.46E-02,2.82E-02,1.50E-01,2D arena size is SA of arena
68,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Dicyphus tamaninii ,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,2,Mean,N,24,25,,1,3.85E+01,,5.28E+00,Alternate family length,1,1.15E-02,Original length,2,m^2 per pred per day,0.54,1.13E-02,7.79E-03,1.77E-02,1.36E-02,6.73E-03,1.95E-02,Prey length includes antennae
69,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,2,Mean,N,24,25,,1,3.85E+01,,2.24E+00,Alternate species length,1,1.15E-02,Original length,2,m^2 per pred per day,0.27,9.02E-03,5.07E-03,1.78E-02,4.80E-02,3.28E-02,6.41E-02,Prey length includes antennae
70,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius majusculus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,2,Mean,N,24,25,,1,3.85E+01,,6.61E-01,Alternate species length,1,1.15E-02,Original length,2,m^2 per pred per day,0.57,2.58E-02,2.06E-02,3.14E-02,2.81E-02,2.39E-02,3.27E-02,Prey length includes antennae
71,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius laevigatus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,2,Mean,N,24,25,,1,3.85E+01,,2.01E-01,Alternate species length,1,1.15E-02,Original length,2,m^2 per pred per day,0.28,1.96E-02,1.18E-02,3.10E-02,6.12E-02,4.72E-02,7.13E-02,Prey length includes antennae
72,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Dicyphus tamaninii ,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,2,Mean,N,24,25,,1,3.85E+01,,5.28E+00,Alternate family length,1,4.17E-02,Original length,2,m^2 per pred per day,0.61,8.10E-03,5.71E-03,1.10E-02,7.31E-03,7.62E-05,1.37E-02,
73,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,2,Mean,N,24,25,,1,3.85E+01,,2.24E+00,Alternate species length,1,4.17E-02,Original length,2,m^2 per pred per day,0.45,7.07E-03,4.52E-03,1.05E-02,1.19E-02,3.98E-09,2.11E-02,
74,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius majusculus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,2,Mean,N,24,25,,1,3.85E+01,,6.61E-01,Alternate species length,1,4.17E-02,Original length,2,m^2 per pred per day,0.83,1.88E-02,1.60E-02,2.14E-02,1.07E-02,8.59E-03,1.34E-02,
75,Montserrat et al 2000 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius laevigatus,Adult female (13-16d old),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,2,Mean,N,24,25,,1,3.85E+01,,2.01E-01,Alternate species length,1,4.17E-02,Original length,2,m^2 per pred per day,0.84,1.60E-02,1.27E-02,2.03E-02,9.33E-03,5.17E-03,1.33E-02,
76,Heimpel and Gough-Goldstein 1994 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Perillus bioculatus,5th instar,3,Metazoan,Invertebrate,Insect,Coleoptera,Colorado potato beetle,Leptinotarsa decemlineata,Larva (neonate),2,Mean,N,,27.5,,1,1.02E+02,3.06E+03,,,,7.33E+01,Alternate species length,1,m^2.5 per pred per day,0.52,5.94E-02,3.78E-02,1.06E-01,1.30E-02,9.64E-03,1.70E-02,
77,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female protonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.52,6.35E-05,4.13E-05,9.63E-05,1.10E+00,4.67E-01,1.70E+00,Used cucumber leaf discs
78,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male protonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.48,3.01E-05,2.15E-05,4.23E-05,1.91E+00,1.07E+00,2.73E+00,Used cucumber leaf discs
79,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female deutonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.33,8.01E-04,4.35E-04,1.63E-03,2.61E-01,1.54E-01,3.62E-01,Used cucumber leaf discs
80,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male deutonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.27,2.03E-04,1.49E-04,3.03E-04,7.48E-01,5.67E-01,9.54E-01,Used cucumber leaf discs
81,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult male,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,1,4.17E-02,Alternate species length,2,m^2 per pred per day,0.54,3.34E-05,2.71E-05,4.73E-05,1.83E-01,5.97E-08,8.10E-01,Used cucumber leaf discs
82,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (mated),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,2,4.17E-02,Alternate species length,2,m^2 per pred per day,0.35,1.21E-03,6.15E-04,2.37E-03,1.21E-01,4.75E-02,1.90E-01,Used cucumber leaf discs
83,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (unmated),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,2,4.17E-02,Alternate species length,2,m^2 per pred per day,0.33,1.20E-03,7.16E-04,2.03E-03,1.71E-01,1.04E-01,2.48E-01,Used cucumber leaf discs
84,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female protonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.67,9.59E-05,7.38E-05,1.28E-04,2.57E-01,5.99E-02,4.67E-01,Used sweet pepper leaf discs
85,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male protonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.53,6.15E-05,3.78E-05,1.02E-04,1.10E+00,3.83E-01,1.79E+00,Used sweet pepper leaf discs
86,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female deutonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.4,1.12E-03,7.71E-04,1.59E-03,3.15E-01,2.68E-01,3.71E-01,Used sweet pepper leaf discs
87,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male deutonymph,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,,,,4.17E-02,Alternate species length,2,m^2 per pred per day,0.32,3.11E-04,1.83E-04,4.78E-04,1.19E+00,9.12E-01,1.42E+00,Used sweet pepper leaf discs
88,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult male,3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,1,4.17E-02,Alternate species length,2,m^2 per pred per day,0.61,5.01E-05,3.87E-05,6.49E-05,5.31E-08,3.51E-09,1.49E-07,Used sweet pepper leaf discs
89,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (mated),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,2,4.17E-02,Alternate species length,2,m^2 per pred per day,0.46,1.13E-03,6.82E-04,1.72E-03,6.22E-02,1.76E-02,9.94E-02,Used sweet pepper leaf discs
90,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (unmated),3,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,2,Mean,N,,26,,1,1.26E+01,,2.82E-02,Original length,2,4.17E-02,Alternate species length,2,m^2 per pred per day,0.42,1.11E-03,6.97E-04,1.92E-03,9.45E-02,4.72E-02,1.43E-01,Used sweet pepper leaf discs
91,Wiedenmann and O'neil 1991 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Podisus maculiventris,Adult female (7-30d old),3,Metazoan,Invertebrate,Insect,Coleoptera,Mexican bean beetle,Epilachna varivestis,3rd instar,2,Mean,N,24,23,,1,6.36E+01,,7.58E+01,Alternate species length,1,1.12E+01,Original mass,1,m^2 per pred per day,0.72,7.32E-03,5.53E-03,9.36E-03,5.25E-02,1.87E-02,8.32E-02,
92,Flinn 1991 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",3,Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,2,Mean,N,,20,,1,3.85E+01,5.20E+02,2.24E-01,Alternate species length,1,,,,m^2.5 per pred per day,0.86,6.23E-03,5.30E-03,7.44E-03,4.37E-10,4.05E-11,2.80E-03,
93,Flinn 1991 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",3,Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,2,Mean,N,,25,,1,3.85E+01,5.20E+02,2.24E-01,Alternate species length,1,,,,m^2.5 per pred per day,0.68,6.27E-03,4.54E-03,1.15E-02,1.01E-09,9.27E-11,9.59E-03,
94,Flinn 1991 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",3,Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,2,Mean,N,,30,,1,3.85E+01,5.20E+02,2.24E-01,Alternate species length,1,,,,m^2.5 per pred per day,0.72,6.40E-03,4.40E-03,1.03E-02,1.29E-09,1.06E-10,6.67E-03,
95,Flinn 1991 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",3,Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,2,Mean,N,,35,,1,3.85E+01,5.20E+02,2.24E-01,Alternate species length,1,,,,m^2.5 per pred per day,0.71,6.38E-03,4.55E-03,1.53E-02,8.96E-10,9.34E-11,1.09E-02,
96,Flinn 1991 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",3,Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,2,Mean,N,,38,,1,3.85E+01,5.20E+02,2.24E-01,Alternate species length,1,,,,m^2.5 per pred per day,0.91,6.24E-03,5.48E-03,7.15E-03,1.94E-10,2.92E-11,1.10E-03,
97,Dor et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Vertebrate,Reptile,,Norops serranoi,Adult male (wild caught),3,Metazoan,Invertebrate,Insect,Diptera,Mexican fruit fly,Anastrepha ludens,Adult (3-18d old),2,Raw data,N,,26,,1,9.00E+02,2.70E+04,1.68E+04,Alternate species mass,1,1.79E+01,Alternate species length,1,m^2.5 per pred per day,0.3,2.63E-01,1.48E-01,5.06E-01,5.87E-03,5.18E-09,1.22E-02,
98,Dor et al 2014 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Vertebrate,Reptile,,Norops serranoi,Adult female (wild caught),3,Metazoan,Invertebrate,Insect,Diptera,Mexican fruit fly,Anastrepha ludens,Adult (3-18d old),2,Raw data,N,,26,,1,9.00E+02,2.70E+04,1.68E+04,Alternate species mass,2,1.79E+01,Alternate species length,1,m^2.5 per pred per day,0.44,5.10E-01,2.72E-01,2.53E+00,4.21E-03,9.26E-04,7.65E-03,
99,Chow et al 1983 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),3,Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",2,Mean,Y,24,15,,1,5.30E+02,,1.31E+00,Alternate species length,1,2.05E-01,Average species mass,1,m^2 per pred per day,0.11,1.82E-01,9.41E-02,4.06E-01,6.61E-02,2.86E-02,9.53E-02,
100,Chow et al 1983 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),3,Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",2,Mean,Y,24,25,,1,5.30E+02,,1.31E+00,Alternate species length,1,2.05E-01,Average species mass,1,m^2 per pred per day,0.32,1.77E-01,9.47E-02,3.92E-01,1.59E-02,1.75E-08,2.57E-02,
101,Chow et al 1983 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),3,Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",2,Mean,Y,24,35,,1,5.30E+02,,1.31E+00,Alternate species length,1,2.05E-01,Average species mass,1,m^2 per pred per day,0.45,6.24E-01,4.34E-01,9.20E-01,1.05E-02,7.29E-03,1.41E-02,
102,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,4,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.07,1.59E-04,4.36E-05,1.73E-03,2.58E-07,9.35E-09,2.21E+00,
103,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,6,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.13,3.64E-04,1.47E-04,3.36E-03,7.07E-08,3.19E-09,3.09E-01,
104,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,8,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.17,7.43E-04,3.87E-04,2.15E-03,2.38E-08,1.50E-09,1.60E-01,
105,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,10,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.14,9.38E-04,3.53E-04,2.77E-03,4.66E-02,8.19E-09,1.59E-01,
106,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,12,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.13,7.66E-04,3.47E-04,1.54E-03,9.17E-08,1.82E-09,1.48E-01,
107,Jones et al 2007 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",2,Raw data,N,,14,,1,1.96E+01,5.89E+02,1.03E+00,Alternate species length,1,1.03E-01,Average species mass,4,m^2.5 per pred per day,0.13,1.01E-03,4.94E-04,4.03E-03,1.13E-07,2.32E-09,1.35E-01,
108,Frewin et al 2010 ENVIRON ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Aphelinus certus,"Adult female (mated, naïve, 24-48h old)",3,Metazoan,Invertebrate,Insect,Hemiptera,Soybean aphid,Aphis glycines,3rd instar,2,Mean,N,,26,,1,7.85E+01,6.28E+02,1.26E+02,Alternate order length,1,7.67E-02,% adult mass,2,m^2.5 per pred per day,0.63,3.03E-03,2.25E-03,4.03E-03,3.88E-02,2.73E-02,4.93E-02,
109,Trichilo and Leigh 1986 ENVIRON ENTOMOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Thysanoptera,Frankliniella occidentalis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus spp,Egg (webbing removed),2,Mean,N,,27,,1,3.00E+00,,1.37E-01,Alternate species length,1,1.70E-03,Average genus mass,1,m^2.5 per pred per day,0.81,3.28E-05,2.30E-05,4.65E-05,4.15E-02,2.60E-02,5.26E-02,
